person_id,person_name,data_points,dynasty_info,index_year
1762,王安石,【臨川】籍貫(基本地址)|【江寧府】死所,15-宋,1021.0
3667,馬仁裕,【合肥】籍貫(基本地址),10-南唐,879.0
18420,江文蔚,【建安】另一籍貫(基本地址)|【建陽】籍貫(基本地址),10-南唐,901.0
19635,李從善,【江寧】前住地|【徐州】另一籍貫(基本地址)|【成紀】另一籍貫(基本地址)|【開封】籍貫(基本地址)|【開封】遷住地,15-宋,940.0
27034,趙宣輔,【江都】前住地|【上元】籍貫(基本地址)|【上元】遷住地,10-南唐,0.0
36351,王煜,【臨川】籍貫(基本地址),15-宋,0.0
39043,王克貞,【廬陵】籍貫(基本地址),15-宋,930.0
39436,江直木,【廬江】籍貫(基本地址),15-宋,921.0
42864,易文贇,【高安】籍貫(基本地址),15-宋,893.0
92561,喬匡舜,【高郵】籍貫(基本地址),10-南唐,898.0
103371,李從善,【范陽】籍貫(基本地址),18-元,no_data
103372,李從善,【元城】籍貫(基本地址),18-元,no_data
119793,樊潛,【長安】籍貫(基本地址)|【貴池】籍貫(基本地址),15-宋,no_data
